GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1994,70
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1995,68
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1996,79
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1997,77
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1998,71
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1999,65
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2000,64
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2001,62
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2002,61
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2003,63
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2004,62
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2005,62
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2006,63
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2007,60
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2008,67
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2009,73
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2010,75
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2011,85
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2012,80
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2013,75
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2014,71
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2015,73
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2016,73
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2017,80
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2018,82
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2019,65
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2020,78
Aeugst a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2021,89
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1994,40
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1995,40
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1996,45
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1997,44
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1998,39
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1999,35
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2000,33
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2001,32
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2002,32
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2003,36
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2004,36
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2005,35
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2006,36
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2007,34
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2008,38
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2009,48
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2010,50
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2011,48
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2012,48
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2013,46
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2014,48
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2015,48
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2016,49
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2017,46
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2018,46
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2019,47
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2020,56
Affoltern a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2021,65
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1994,64
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1995,61
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1996,64
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1997,60
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1998,54
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],1999,48
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2000,48
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2001,46
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2002,38
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2003,40
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2004,40
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2005,42
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2006,42
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2007,38
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2008,43
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2009,57
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2010,58
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2011,58
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2012,59
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2013,57
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2014,59
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2015,60
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2016,61
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2017,55
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2018,55
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2019,51
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2020,62
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2021,71
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1994,51
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1995,50
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1996,55
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1997,53
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1998,49
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1999,45
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2000,37
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2001,37
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2002,35
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2003,43
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2004,44
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2005,43
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2006,43
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2007,38
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2008,45
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2009,52
