Gebiet Name,GEBIET_NAME-3,Indikator Jahr,Year,Benzin,Benzin Car,Benzin Car %,Diesel,Diesel Car,Diesel Car %,Elektro,Elektro Car,Elektro Car %,Hybrid,Hybrid Car,Hybrid Car %,Motorad,Motorrad Neu,Motorradp1000,neu Pw pro 1000,Other motor car,Other motor Car %,Othermotor,PW,Pw neu,Unfall pro 1000
,Aeugst a.A.,,01.01.2002,94.1,800.791,8.00791,5.8,49.358,0.49358,0.1,0.851,0.00851,0,0,0,160,10,106.5,43.9,0,0,0,851,66,
,Aeugst a.A.,,01.01.2003,93.1,815.556,8.15556,6.8,59.568,0.59568,0.1,0.876,0.00876,0,0,0,160,9,107.4,48.3,0,0,0,876,72,
,Aeugst a.A.,,01.01.2004,92.8,837.056,8.37056,7.1,64.042,0.64042,0.1,0.902,0.00902,0,0,0,166,9,107.7,42.2,0,0,0,902,65,
,Aeugst a.A.,,01.01.2005,91.9,858.346,8.58346,8,74.72,0.7472,0.1,0.934,0.00934,0,0,0,168,8,105.1,35,0,0,0,934,56,
,Aeugst a.A.,,01.01.2006,91,852.67,8.5267,8.7,81.519,0.81519,0.1,0.937,0.00937,0.1,0.937,0.00937,168,11,104.6,31.1,0,0,0,937,50,
,Aeugst a.A.,,01.01.2007,89.2,861.672,8.61672,10.8,104.328,1.04328,0,0,0,0,0,0,158,11,96.1,38.3,0,0,0,966,63,
,Aeugst a.A.,,01.01.2008,86.6,862.536,8.62536,13.3,132.468,1.32468,0,0,0,0.1,0.996,0.00996,174,12,102.3,35.9,0,0,0,996,61,
,Aeugst a.A.,,01.01.2009,84.1,850.251,8.50251,15.8,159.738,1.59738,0,0,0,0.1,1.011,0.01011,169,14,99.4,37.6,0,0,0,1011,64,
Aeugst a.A.,Aeugst a.A.,01.01.2010,01.01.2010,82.6,869.778,8.69778,17.1,180.063,1.80063,0,0,0,0.3,3.159,0.03159,183,10,105.4,34.5,0,0,0,1053,60,3.3
Aeugst a.A.,Aeugst a.A.,01.01.2011,01.01.2011,80.6,886.6,8.866,19,209,2.09,0,0,0,0.5,5.5,0.055,195,14,107,41.7,0,0,0,1100,76,6.8
Aeugst a.A.,Aeugst a.A.,01.01.2012,01.01.2012,78.7,892.458,8.92458,20.6,233.604,2.33604,0,0,0,0.7,7.938,0.07938,200,15,104.7,46,0,0,0,1134,88,4.6
Aeugst a.A.,Aeugst a.A.,01.01.2013,01.01.2013,76.6,886.262,8.86262,22.3,258.011,2.58011,0,0,0,1,11.57,0.1157,203,9,103.6,35.2,0,0,0,1157,69,5.1
Aeugst a.A.,Aeugst a.A.,01.01.2014,01.01.2014,73.9,858.718,8.58718,24.6,285.852,2.85852,0.3,3.486,0.03486,1.1,12.782,0.12782,215,13,109.1,38.6,0,0,0,1162,76,4.1
Aeugst a.A.,Aeugst a.A.,01.01.2015,01.01.2015,72.2,846.906,8.46906,26.1,306.153,3.06153,0.5,5.865,0.05865,1.1,12.903,0.12903,206,15,105.5,40,1.173,0.01173,0.1,1173,78,3
Aeugst a.A.,Aeugst a.A.,01.01.2016,01.01.2016,70.1,823.675,8.23675,27.4,321.95,3.2195,0.8,9.4,0.094,1.6,18.8,0.188,203,7,102.2,37.3,2.35,0.0235,0.2,1175,74,4.6
Aeugst a.A.,Aeugst a.A.,01.01.2017,01.01.2017,69.3,817.047,8.17047,28,330.12,3.3012,0.7,8.253,0.08253,1.7,20.043,0.20043,211,11,107.2,34,3.537,0.03537,0.3,1179,67,4.7
Aeugst a.A.,Aeugst a.A.,01.01.2018,01.01.2018,68.7,815.469,8.15469,28,332.36,3.3236,0.7,8.309,0.08309,2.5,29.675,0.29675,223,9,115.3,37.2,2.374,0.02374,0.2,1187,72,2.5
Aeugst a.A.,Aeugst a.A.,01.01.2019,01.01.2019,67.4,809.474,8.09474,28.4,341.084,3.41084,1.3,15.613,0.15613,2.8,33.628,0.33628,237,12,119.8,37.9,2.402,0.02402,0.2,1201,75,5
Aeugst a.A.,Aeugst a.A.,01.01.2020,01.01.2020,65.9,804.639,8.04639,27.8,339.438,3.39438,2.4,29.304,0.29304,3.6,43.956,0.43956,263,16,132.8,29.3,2.442,0.02442,0.2,1221,58,6
Aeugst a.A.,Aeugst a.A.,01.01.2021,01.01.2021,64.1,791.635,7.91635,26.9,332.215,3.32215,3.4,41.99,0.4199,5.4,66.69,0.6669,258,14,128.3,28.8,2.47,0.0247,0.2,1235,58,8.1
Aeugst a.A.,Aeugst a.A.,01.01.2022,01.01.2022,62.5,781.875,7.81875,25.8,322.758,3.22758,5.2,65.052,0.65052,6.2,77.562,0.77562,265,12,133.4,24.7,3.753,0.03753,0.3,1251,49,3
,Aeugst a.A.,,01.01.2023,61.2,778.464,7.78464,23.7,301.464,3.01464,7.5,95.4,0.954,7.4,94.128,0.94128,252,4,126.6,36.2,2.544,0.02544,0.2,1272,72,
,Affoltern a.A.,,01.01.2002,95.3,4525.797,45.25797,4.7,223.203,2.23203,0,0,0,0,0,0,452,23,45,34.6,0,0,0,4749,347,
,Affoltern a.A.,,01.01.2003,94.5,4513.32,45.1332,5.5,262.68,2.6268,0,0,0,0,0,0,467,39,46.1,28.2,0,0,0,4776,286,
,Affoltern a.A.,,01.01.2004,93.1,4519.074,45.19074,6.9,334.926,3.34926,0,0,0,0,0,0,499,45,48.6,28.7,0,0,0,4854,294,
,Affoltern a.A.,,01.01.2005,91.8,4465.152,44.65152,8.2,398.848,3.98848,0,0,0,0,0,0,539,28,53.2,29.7,4.864,0.04864,0.1,4864,301,
