BFS_NR-3,GEBIET_NAME-3,Year,Cars,BENZIN,Benzin Car,Benzin Car %,DIESEL,Diesel Car,Diesel Car %,hybrid,Hybrid Car,Hybrid Car %,Elektro,Elektro Car,Elektro Car %,Othermotor,Other motor car,Other motor Car %,motorad,Accidents pro 1000
0,Zürich - ganzer Kanton,2002,605772,95,575483.4,95,4.9,29682.828,4.9,0,0,0,0,0,0,0,0,0,68607,
0,Zürich - ganzer Kanton,2003,609746,93.8,571941.748,93.8,6.2,37804.252,6.2,0,0,0,0,0,0,0,0,0,72180,
0,Zürich - ganzer Kanton,2004,618524,92.4,571516.176,92.4,7.5,46389.3,7.5,0,0,0,0,0,0,0.1,618.524,0.1,75683,
0,Zürich - ganzer Kanton,2005,623008,90.8,565691.264,90.8,9,56070.72,9,0,0,0,0,0,0,0.1,623.008,0.1,78429,
0,Zürich - ganzer Kanton,2006,628057,89.1,559598.787,89.1,10.7,67202.099,10.7,0.1,628.057,0.1,0,0,0,0.1,628.057,0.1,80926,
0,Zürich - ganzer Kanton,2007,634982,87.1,553069.322,87.1,12.4,78737.768,12.4,0.3,1904.946,0.3,0,0,0,0.2,1269.964,0.2,83599,
0,Zürich - ganzer Kanton,2008,642078,85.2,547050.456,85.2,14.2,91175.076,14.2,0.4,2568.312,0.4,0,0,0,0.3,1926.234,0.3,86586,
0,Zürich - ganzer Kanton,2009,648796,83.4,541095.864,83.4,15.8,102509.768,15.8,0.5,3243.98,0.5,0,0,0,0.3,1946.388,0.3,88140,
0,Zürich - ganzer Kanton,2010,657425,81.7,537116.225,81.7,17.4,114391.95,17.4,0.6,3944.55,0.6,0,0,0,0.3,1972.275,0.3,89938,10.2
0,Zürich - ganzer Kanton,2011,668873,79.7,533091.781,79.7,19.2,128423.616,19.2,0.7,4682.111,0.7,0,0,0,0.3,2006.619,0.3,91827,9.5
0,Zürich - ganzer Kanton,2012,681817,77.2,526362.724,77.2,21.5,146590.655,21.5,0.9,6136.353,0.9,0.1,681.817,0.1,0.4,2727.268,0.4,94215,9.4
0,Zürich - ganzer Kanton,2013,690256,74.8,516311.488,74.8,23.7,163590.672,23.7,1,6902.56,1,0.1,690.256,0.1,0.4,2761.024,0.4,96394,9.4
0,Zürich - ganzer Kanton,2014,695135,72.8,506058.28,72.8,25.5,177259.425,25.5,1.2,8341.62,1.2,0.2,1390.27,0.2,0.4,2780.54,0.4,98403,9.1
0,Zürich - ganzer Kanton,2015,705814,70.7,499010.498,70.7,27.2,191981.408,27.2,1.4,9881.396,1.4,0.3,2117.442,0.3,0.4,2823.256,0.4,101385,9.8
0,Zürich - ganzer Kanton,2016,713600,68.9,491670.4,68.9,28.7,204803.2,28.7,1.6,11417.6,1.6,0.4,2854.4,0.4,0.4,2854.4,0.4,103588,10.9
0,Zürich - ganzer Kanton,2017,718209,67.4,484072.866,67.4,29.8,214026.282,29.8,1.9,13645.971,1.9,0.5,3591.045,0.5,0.4,2872.836,0.4,105034,11.2
0,Zürich - ganzer Kanton,2018,720843,66.6,480081.438,66.6,30.2,217694.586,30.2,2.1,15137.703,2.1,0.7,5045.901,0.7,0.4,2883.372,0.4,106802,10.9
0,Zürich - ganzer Kanton,2019,723462,65.7,475314.534,65.7,30.3,219208.986,30.3,2.6,18810.012,2.6,1,7234.62,1,0.4,2893.848,0.4,107992,10.6
0,Zürich - ganzer Kanton,2020,729057,65,473887.05,65,29.9,217988.043,29.9,3.4,24787.938,3.4,1.3,9477.741,1.3,0.4,2916.228,0.4,114374,9.6
0,Zürich - ganzer Kanton,2021,736669,63.4,467048.146,63.4,29.1,214370.679,29.1,5.1,37570.119,5.1,2.1,15470.049,2.1,0.4,2946.676,0.4,117064,10.1
0,Zürich - ganzer Kanton,2022,736640,61.9,455980.16,61.9,28,206259.2,28,6.8,50091.52,6.8,3,22099.2,3,0.3,2209.92,0.3,117271,10.4
0,Zürich - ganzer Kanton,2023,740923,60.4,447517.492,60.4,26.7,197826.441,26.7,8.5,62978.455,8.5,4.2,31118.766,4.2,0.3,2222.769,0.3,118522,
