"","Ladestationen / bornes de recharge","Standorte / sites"
"01-2022","7148","3339"
"02-2022","7204","3358"
"03-2022","7256","3380"
"04-2022","7548","3569"
"05-2022","7896","3783"
"06-2022","8059","3868"
"07-2022","8303","3988"
"08-2022","8588","4094"
"09-2022","8540","4106"
"10-2022","8648","4167"
"11-2022","8897","4260"
"12-2022","9152","4356"
"01-2023","9132","4368"
"02-2023","9243","4446"
"03-2023","9816","4423"
"04-2023","10768","5050"
"05-2023","10963","5172"
"06-2023","11311","5330"
"07-2023","11675","5486"
"08-2023","11875","5556"
"09-2023","12110","5642"
