BFS_NR,GEBIET_NAME,INDIKATOR_JAHR,Neuzulassungen  Dieselmotor [%],Neuzulassungen Benzinmotor [%],Neuzulassungen  Elektromotor [%],Neuzulassungen  Hybridantrieb [%],Neuzulassungen anderer Antrieb [%]
1,Aeugst a.A.,2002,10.6,89.4,0,0,0
1,Aeugst a.A.,2003,12.5,87.5,0,0,0
1,Aeugst a.A.,2004,15.4,84.6,0,0,0
1,Aeugst a.A.,2005,28.6,71.4,0,0,0
1,Aeugst a.A.,2006,34,64,0,2,0
1,Aeugst a.A.,2007,30.2,69.8,0,0,0
1,Aeugst a.A.,2008,32.8,65.6,0,1.6,0
1,Aeugst a.A.,2009,26.6,73.4,0,0,0
1,Aeugst a.A.,2010,16.7,83.3,0,0,0
1,Aeugst a.A.,2011,32.9,65.8,0,1.3,0
1,Aeugst a.A.,2012,34.1,63.6,0,2.3,0
1,Aeugst a.A.,2013,39.1,56.5,0,4.3,0
1,Aeugst a.A.,2014,31.6,64.5,3.9,0,0
1,Aeugst a.A.,2015,37.2,56.4,1.3,3.8,1.3
1,Aeugst a.A.,2016,33.8,59.5,4.1,2.7,0
1,Aeugst a.A.,2017,31.3,68.7,0,0,0
1,Aeugst a.A.,2018,26.4,65.3,1.4,6.9,0
1,Aeugst a.A.,2019,14.7,69.3,9.3,6.7,0
1,Aeugst a.A.,2020,13.8,46.6,20.7,19,0
1,Aeugst a.A.,2021,10.3,39.7,12.1,37.9,0
1,Aeugst a.A.,2022,12.2,22.4,36.7,28.6,0
1,Aeugst a.A.,2023,8.3,26.4,37.5,27.8,0
2,Affoltern a.A.,2002,14.2,85.8,0,0,0
2,Affoltern a.A.,2003,17.5,82.5,0,0,0
2,Affoltern a.A.,2004,19.1,80.9,0,0,0
2,Affoltern a.A.,2005,20.6,78.7,0,0,0.7
2,Affoltern a.A.,2006,26,73.3,0,0.7,0
2,Affoltern a.A.,2007,24.3,73.6,0,0.3,1.7
2,Affoltern a.A.,2008,24.1,72.6,0,2.2,1.1
2,Affoltern a.A.,2009,24.5,74.8,0,0.7,0
2,Affoltern a.A.,2010,23.9,74.8,0,1,0.3
2,Affoltern a.A.,2011,30.7,68.2,0,1.1,0
2,Affoltern a.A.,2012,37.3,61.5,0,1,0.2
2,Affoltern a.A.,2013,34.5,64.1,0,1.4,0
2,Affoltern a.A.,2014,37.1,60.5,1.2,0.9,0.3
2,Affoltern a.A.,2015,38.5,57.9,0.6,2.5,0.6
2,Affoltern a.A.,2016,39.8,54.5,1.6,4.1,0
2,Affoltern a.A.,2017,34.5,59,3.1,3.1,0.3
