Year,Leergewicht,Nutzlast,Gesamtgewicht
2002,"1,446292717","0,4275812706","1,873873988"
2003,"1,472473738","0,4278748109","1,900348549"
2004,"1,497864459","0,4309940809","1,92885854"
2005,"1,509635371","0,4358473149","1,945482686"
2006,"1,530110952","0,4390991564","1,969210109"
2007,"1,542925626","0,4439010609","1,986826687"
2008,"1,516526099","0,45191004","1,968436139"
2009,"1,491316307","0,4597932334","1,951109541"
2010,"1,489745101","0,4670977476","1,956842848"
2011,"1,498644004","0,4749012554","1,97354526"
2012,"1,526072077","0,4824845671","2,008556644"
2013,"1,521236984","0,481185397","2,002422381"
2014,"1,528162429","0,4812364171","2,009398846"
2015,"1,556720525","0,4727303112","2,029450836"
2016,"1,59465783","0,469771405","2,064429235"
2017,"1,617279372","0,460962946","2,078242318"
2018,"1,634810434","0,4545361758","2,089346609"
2019,"1,661556115","0,4492415316","2,110797647"
2020,"1,708205107","0,4506352159","2,158840323"
2021,"1,739386572","0,4444115658","2,183798138"
2022,"1,781461348","0,443168434","2,224629782"
2023,"1,823815739","0,4417252049","2,265540944"
